Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:18:05 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:18:20 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:18:20 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:18:35 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:18:35 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:18:50 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:18:50 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:19:05 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:19:05 COT 2014
Recibido DISCOVERY de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:20:49 COT 2014
Se envió DHCP_OFFFER a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:20:49 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:20:50 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:20:58 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:20:58 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:21:13 COT 2014
